subject,general white matter,general grey matter,general csf,cerebellum,brainstem,thalamus,putamen+pallidum,hippocampus+amygdala
28675_1_anat,0.8369,0.7688,0.8097,0.9141,0.8966,0.8578,0.9152,0.8835
28676_anat,0.8744,0.7679,0.8697,0.8838,0.8872,0.8997,0.9341,0.8796
28677_anat,0.8742,0.7587,0.8179,0.8990,0.8537,0.8774,0.9198,0.8929
28678_anat,0.8529,0.7679,0.8868,0.9063,0.8618,0.8790,0.9038,0.8573
28679_1_anat,0.8640,0.7848,0.7588,0.8679,0.8660,0.8772,0.9112,0.8881
28680_anat,0.8546,0.7729,0.8886,0.8698,0.8702,0.8800,0.8838,0.8777
28681_anat,0.8461,0.7740,0.8614,0.8703,0.8748,0.8768,0.9225,0.8767
28682_anat,0.8568,0.7735,0.7697,0.8628,0.8799,0.8775,0.9110,0.8760
28683_anat,0.8514,0.7911,0.8731,0.9152,0.8683,0.8640,0.9028,0.8676
28684_anat,0.8634,0.7748,0.8042,0.9134,0.8750,0.8625,0.9083,0.8777
28685_4_anat,0.8507,0.7746,0.7934,0.8700,0.8845,0.8960,0.9128,0.8769
28686_anat,0.8611,0.7786,0.7649,0.8806,0.8639,0.8655,0.9152,0.8748
28687_2_anat,0.8741,0.7732,0.7259,0.8940,0.8627,0.8626,0.9424,0.8931
28688_anat,0.8785,0.7733,0.7871,0.8765,0.8760,0.8756,0.9428,0.8987
28689_4_anat,0.8771,0.7665,0.8286,0.8808,0.8363,0.8762,0.9329,0.8821
28690_anat,0.8637,0.7738,0.7392,0.8786,0.8793,0.8596,0.9195,0.8782
28691_3_anat,0.8424,0.7683,0.8584,0.9008,0.9067,0.8675,0.9181,0.8692
28692_anat,0.8602,0.7744,0.8369,0.8813,0.8883,0.8770,0.9418,0.8870
28693_4_anat,0.8246,0.7161,0.8076,0.8820,0.8680,0.8585,0.8777,0.8563
28694_2_anat,0.8490,0.7684,0.7908,0.9050,0.8837,0.8732,0.9163,0.8781
28695_anat,0.8704,0.7629,0.7381,0.8982,0.8814,0.8867,0.9250,0.8922
28696_1_anat,0.8581,0.7660,0.7503,0.8983,0.8742,0.8750,0.9130,0.8855
28697_4_anat,0.8727,0.7748,0.7386,0.8774,0.8859,0.8746,0.9155,0.8895
28698_anat,0.8729,0.7854,0.8494,0.8977,0.8901,0.8698,0.9177,0.8798
28699_4_anat,0.8584,0.7821,0.8292,0.9012,0.8692,0.8729,0.9225,0.8686
28700_4_anat,0.8497,0.7724,0.8022,0.9087,0.8666,0.8494,0.9026,0.8569
28701_4_anat,0.8604,0.7706,0.6641,0.8805,0.8641,0.8465,0.9004,0.8759
28702_4_anat,0.8616,0.7719,0.7485,0.9100,0.8843,0.8609,0.9093,0.8759
28703_anat,0.8392,0.7608,0.7181,0.8814,0.8759,0.8473,0.9015,0.8650
28704_anat,0.8517,0.7447,0.8078,0.8937,0.8566,0.8644,0.9085,0.8595
28705_5_anat,0.8627,0.7863,0.7688,0.8947,0.8590,0.8785,0.9184,0.8920
28706_anat,0.8596,0.7841,0.7494,0.9018,0.8873,0.8496,0.9062,0.8942
28707_anat,0.8342,0.7627,0.8776,0.8835,0.8717,0.8824,0.8999,0.8865
28708_anat,0.8452,0.7872,0.7630,0.9267,0.9108,0.8789,0.9321,0.8792
28709_4_anat,0.8426,0.7636,0.7946,0.8927,0.8611,0.8737,0.9211,0.8734
28710_1_anat,0.8542,0.7650,0.8083,0.8800,0.8583,0.8821,0.9186,0.8761
28711_4_anat,0.8680,0.7727,0.7613,0.8908,0.8529,0.8718,0.9375,0.8887
28712_anat,0.8600,0.7707,0.8398,0.8655,0.8518,0.8910,0.9073,0.8875
28713_4_anat,0.8601,0.7699,0.7672,0.8829,0.8792,0.8785,0.9183,0.8829
28714_anat,0.8554,0.7768,0.7710,0.8911,0.8916,0.8651,0.9192,0.8764
28715_anat,0.8734,0.7728,0.7950,0.8846,0.8763,0.8791,0.9232,0.8829
28716_4_anat,0.8444,0.7591,0.6846,0.8692,0.8651,0.8554,0.9311,0.8737
28717_anat,0.8515,0.7723,0.8317,0.8882,0.8690,0.8585,0.9082,0.8721
28718_anat,0.8710,0.7697,0.7300,0.8650,0.8559,0.8640,0.9309,0.8913
28719_4_anat,0.8611,0.7656,0.7504,0.8617,0.8477,0.8676,0.9321,0.8812
28720_4_anat,0.8819,0.7802,0.8648,0.8955,0.9061,0.8913,0.9102,0.8905
28721_anat,0.8777,0.7732,0.7347,0.8750,0.8773,0.8800,0.8921,0.9027
